"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 06 15:08:57 CST 2022","Wed Jul 06 15:09:09 CST 2022","11612","case","test_case_pytest","","","","报备人员面试通过",""
"passed","Wed Jul 06 15:08:44 CST 2022","Wed Jul 06 15:08:57 CST 2022","13167","case","test_case_pytest","","","","发起正常报备",""
"passed","Wed Jul 06 15:08:21 CST 2022","Wed Jul 06 15:08:36 CST 2022","14616","case","test_case_pytest","","","","发起异常报备",""
"passed","Wed Jul 06 15:08:36 CST 2022","Wed Jul 06 15:08:44 CST 2022","8492","case","test_case_pytest","","","","处理异常报备的审批",""
