"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 13 13:04:34 CST 2022","Wed Jul 13 13:04:41 CST 2022","7077","cases","test_case_pytest","","","","处理异常报备的审批","审批管理"
"passed","Fri Jul 15 13:04:16 CST 2022","Fri Jul 15 13:04:27 CST 2022","11458","cases","test_case_pytest","","","","报备人员面试通过","描述："
"passed","Wed Jul 13 13:04:41 CST 2022","Wed Jul 13 13:04:54 CST 2022","12277","cases","test_case_pytest","","","","发起正常报备","招聘管理"
"passed","Wed Jul 13 13:04:18 CST 2022","Wed Jul 13 13:04:34 CST 2022","15871","cases","test_case_pytest","","","","发起异常报备","招聘管理"
